System time;Event;X Gaze Data; Y Gaze Data 
1587052501264;Gaze;7502;1940
1587052501275;Gaze;7507;1942
1587052501286;Gaze;7513;1947
1587052501297;Gaze;7519;1943
1587052501308;Gaze;7528;1935
1587052501319;Gaze;7528;1934
1587052501330;Gaze;7529;1933
1587052501342;Gaze;7524;1930
1587052501352;Gaze;7521;1929
1587052501364;Gaze;7515;1926
1587052501375;Gaze;7508;1922
1587052501386;Gaze;7507;1922
1587052501397;Gaze;7508;1922
1587052501408;Gaze;7506;1921
1587052501419;Gaze;7508;1923
1587052501430;Gaze;7518;1927
1587052501441;Gaze;7516;1927
1587052501452;Gaze;7512;1932
1587052501463;Gaze;7513;1932
1587052501474;Gaze;7513;1931
1587052501486;Gaze;7513;1930
1587052501497;Gaze;7510;1929
1587052501508;Gaze;7502;1927
1587052501519;Gaze;7493;1925
1587052501530;Gaze;7465;1927
1587052501541;Gaze;7450;1927
1587052501552;Gaze;7424;1920
1587052501564;Gaze;7424;1920
1587052501575;Gaze;7425;1919
1587052501586;Gaze;7424;1918
1587052501597;Gaze;7424;1919
1587052501608;Gaze;7424;1920
1587052501618;Gaze;7424;1920
1587052501630;Gaze;7423;1920
1587052501641;Gaze;7423;1922
1587052501652;Gaze;7425;1923
1587052501663;Gaze;7424;1922
1587052501675;Gaze;7423;1922
1587052501686;Gaze;7421;1922
1587052501697;Gaze;7417;1926
1587052501708;Gaze;7416;1926
1587052501719;Gaze;7419;1925
1587052501732;Gaze;7423;1921
1587052501741;Gaze;7425;1921
1587052501752;Gaze;7431;1923
1587052501763;Gaze;7434;1923
1587052501775;Gaze;7436;1922
1587052501786;Gaze;7436;1922
1587052501797;Gaze;7433;1922
1587052501808;Gaze;7432;1922
1587052501819;Gaze;7428;1925
1587052501830;Gaze;7425;1927
1587052501842;Gaze;7423;1928
1587052501852;Gaze;7423;1929
1587052501863;Gaze;7415;1932
1587052501874;Gaze;7413;1934
1587052501885;Gaze;7404;1933
1587052501897;Gaze;7400;1932
1587052501908;Gaze;7399;1932
1587052501920;Gaze;7399;1931
1587052501930;Gaze;7402;1931
1587052501941;Gaze;7402;1930
1587052501952;Gaze;7404;1929
1587052501964;Gaze;7408;1927
1587052501975;Gaze;7415;1924
1587052501985;Gaze;7418;1921
1587052501997;Gaze;7419;1921
1587052502008;Gaze;7420;1921
1587052502019;Gaze;7421;1921
1587052502030;Gaze;7427;1920
1587052502042;Gaze;7430;1920
1587052502052;Gaze;7435;1921
1587052502063;Gaze;7444;1923
1587052502074;Gaze;7447;1923
1587052502085;Gaze;7447;1923
1587052502097;Gaze;7423;1920
1587052502108;Gaze;7402;1920
1587052502119;Gaze;7404;1921
1587052502130;Gaze;7400;1920
1587052502142;Gaze;7397;1921
1587052502152;Gaze;7393;1921
1587052502164;Gaze;7389;1921
1587052502174;Gaze;7385;1921
1587052502184;Gaze;7386;1922
1587052502197;Gaze;7386;1922
1587052502208;Gaze;7387;1927
1587052502220;Gaze;7386;1939
1587052502229;Gaze;7387;1941
1587052502241;Gaze;7384;1939
1587052502251;Gaze;7382;1937
1587052502263;Gaze;7386;1938
1587052502274;Gaze;7387;1939
1587052502285;Gaze;7388;1938
1587052502296;Gaze;7386;1938
1587052502308;Gaze;7385;1937
1587052502318;Gaze;7382;1931
1587052502330;Gaze;7382;1930
1587052502341;Gaze;7384;1930
1587052502351;Gaze;7386;1930
1587052502364;Gaze;7386;1930
1587052502375;Gaze;7386;1930
1587052502384;Gaze;7386;1930
1587052502396;Gaze;7387;1932
1587052502408;Gaze;7389;1934
1587052502418;Gaze;7398;1940
1587052502430;Gaze;7399;1941
1587052502441;Gaze;7400;1942
1587052502452;Gaze;7399;1943
1587052502463;Gaze;7398;1944
1587052502474;Gaze;7385;1948
1587052502484;Gaze;7384;1949
1587052502496;Gaze;7383;1949
1587052502507;Gaze;7383;1950
1587052502518;Gaze;7385;1940
1587052502529;Gaze;7383;1942
1587052502541;Gaze;7389;1943
1587052502551;Gaze;7392;1944
1587052502563;Gaze;7393;1945
1587052502575;Gaze;7397;1944
1587052502585;Gaze;7398;1944
1587052502596;Gaze;7395;1943
1587052502607;Gaze;7392;1941
1587052502618;Gaze;7392;1939
1587052502630;Gaze;7391;1938
1587052502641;Gaze;7389;1928
1587052502652;Gaze;7389;1928
1587052502662;Gaze;7388;1928
1587052502674;Gaze;7387;1938
1587052502684;Gaze;7387;1938
1587052502696;Gaze;7387;1939
1587052502707;Gaze;7389;1938
1587052502717;Gaze;7393;1940
1587052502729;Gaze;7393;1940
1587052502741;Gaze;7394;1943
1587052502751;Gaze;7395;1945
1587052502763;Gaze;7397;1944
1587052502774;Gaze;7405;1939
1587052502784;Gaze;7407;1938
1587052502785;Gaze;7408;1938
1587052502796;Gaze;7409;1937
1587052502808;Gaze;7429;1941
1587052502818;Gaze;7439;1943
1587052502830;Gaze;7458;1951
1587052502841;Gaze;7463;1951
1587052502851;Gaze;7463;1951
1587052502863;Gaze;7466;1954
1587052502874;Gaze;7467;1955
1587052502885;Gaze;7467;1956
1587052502896;Gaze;7467;1956
1587052502908;Gaze;7467;1955
1587052502918;Gaze;7467;1954
1587052502930;Gaze;7465;1951
1587052502941;Gaze;7459;1944
1587052502951;Gaze;7454;1939
1587052502962;Gaze;7452;1935
1587052502974;Gaze;7454;1939
1587052502984;Gaze;7453;1939
1587052502996;Gaze;7453;1941
1587052503007;Gaze;7452;1942
1587052503018;Gaze;7453;1940
1587052503029;Gaze;7458;1936
1587052503041;Gaze;7461;1936
1587052503051;Gaze;7460;1936
1587052503063;Gaze;7434;1945
1587052503074;Gaze;7435;1944
1587052503085;Gaze;7433;1942
1587052503096;Gaze;7432;1940
1587052503106;Gaze;7432;1939
1587052503116;Gaze;7432;1938
1587052503216;Gaze;8023;2037
1587052503228;Gaze;8139;2043
1587052503239;Gaze;8142;2024
1587052503251;Gaze;8140;2023
1587052503262;Gaze;8094;2033
1587052503273;Gaze;8092;2035
1587052503284;Gaze;8092;2034
1587052503295;Gaze;8097;2020
1587052503307;Gaze;8098;1997
1587052503317;Gaze;8101;1985
1587052503329;Gaze;8100;1972
1587052503340;Gaze;8099;1969
1587052503351;Gaze;8100;1973
1587052503362;Gaze;8096;1975
1587052503374;Gaze;8095;1974
1587052503384;Gaze;8093;1974
1587052503396;Gaze;8093;1975
1587052503407;Gaze;8095;1979
1587052503417;Gaze;8096;1984
1587052503429;Gaze;8096;1986
1587052503440;Gaze;8096;1990
1587052503450;Gaze;8098;1991
1587052503462;Gaze;8098;1991
1587052503473;Gaze;8101;1994
1587052503484;Gaze;8098;1990
1587052503495;Gaze;8096;1987
1587052503507;Gaze;8093;1983
1587052503517;Gaze;8093;1980
1587052503529;Gaze;8095;1995
1587052503540;Gaze;8094;1995
1587052503551;Gaze;8090;1993
1587052503562;Gaze;8083;1998
1587052503574;Gaze;8055;2016
1587052503585;Gaze;7980;2056
1587052503596;Gaze;7875;2112
1587052503608;Gaze;7833;2134
1587052503617;Gaze;7767;2159
