System Fixation time;Fixation Event;X Fixation Data; Y Fixation Data 
1587052498987;Fixation data;7379;1929
1587052498999;Fixation data;7380;1930
1587052499011;Fixation begin;7366;1952
1587052499021;Fixation data;7361;1953
1587052499032;Fixation data;7365;1954
1587052499044;Fixation data;7371;1954
1587052499055;Fixation data;7380;1959
1587052499066;Fixation data;7385;1965
1587052499077;Fixation data;7392;1961
1587052499087;Fixation data;7389;1953
1587052499099;Fixation data;7379;1944
1587052499111;Fixation data;7371;1943
1587052499122;Fixation begin;7368;1950
1587052499133;Fixation data;7370;1954
1587052499144;Fixation data;7375;1954
1587052499154;Fixation data;7386;1951
1587052499166;Fixation data;7393;1949
1587052499177;Fixation data;7393;1945
1587052499188;Fixation data;7386;1938
1587052499199;Fixation begin;7379;1926
1587052499210;Fixation data;7373;1929
1587052499232;Fixation begin;7372;1939
1587052499244;Fixation data;7369;1941
1587052499255;Fixation data;7350;1942
1587052499267;Fixation data;7331;1941
1587052499278;Fixation data;7334;1934
1587052499288;Fixation data;7358;1931
1587052499299;Fixation begin;7395;1949
1587052499310;Fixation data;7391;1950
1587052499320;Fixation data;7386;1950
1587052499332;Fixation data;7379;1940
1587052499344;Fixation data;7371;1928
1587052499355;Fixation data;7360;1917
1587052499367;Fixation data;7351;1912
1587052499377;Fixation begin;7350;1912
1587052499388;Fixation data;7356;1915
1587052499400;Fixation begin;7373;1915
1587052499410;Fixation data;7373;1917
1587052499421;Fixation data;7374;1922
1587052499432;Fixation data;7377;1929
1587052499443;Fixation data;7376;1935
1587052499454;Fixation data;7367;1937
1587052499455;Fixation data;7362;1937
1587052499465;Fixation data;7356;1935
1587052499499;Fixation begin;7333;1936
1587052499510;Fixation data;7336;1935
1587052499520;Fixation data;7348;1933
1587052499532;Fixation begin;7353;1927
1587052499543;Fixation data;7344;1930
1587052499554;Fixation data;7334;1937
1587052499566;Fixation data;7335;1945
1587052499577;Fixation data;7347;1948
1587052499588;Fixation data;7357;1945
1587052499599;Fixation data;7364;1939
1587052499610;Fixation data;7369;1937
1587052499621;Fixation data;7371;1938
1587052499632;Fixation data;7366;1941
1587052499644;Fixation data;7361;1938
1587052499654;Fixation begin;7356;1937
1587052499665;Fixation data;7360;1937
1587052499677;Fixation data;7361;1939
1587052499687;Fixation data;7359;1939
1587052499699;Fixation data;7353;1936
1587052499710;Fixation data;7346;1937
1587052499721;Fixation data;7341;1936
1587052499732;Fixation begin;7334;1934
1587052499743;Fixation data;7342;1929
1587052499754;Fixation data;7351;1922
1587052499767;Fixation data;7352;1915
1587052499777;Fixation data;7341;1913
1587052499788;Fixation begin;7324;1920
1587052499799;Fixation data;7329;1923
1587052499821;Fixation begin;7337;1934
1587052499832;Fixation data;7341;1937
1587052499843;Fixation data;7352;1938
1587052499853;Fixation data;7386;1937
1587052499865;Fixation data;7415;1933
1587052499876;Fixation data;7432;1928
1587052499887;Fixation begin;7449;1924
1587052499899;Fixation data;7451;1926
1587052499920;Fixation begin;7442;1934
1587052499932;Fixation data;7443;1933
1587052499943;Fixation data;7443;1928
1587052499954;Fixation data;7447;1927
1587052499965;Fixation data;7452;1929
1587052499976;Fixation data;7450;1937
1587052499987;Fixation data;7444;1943
1587052499998;Fixation data;7441;1945
1587052500009;Fixation data;7443;1946
1587052500032;Fixation begin;7436;1941
1587052500043;Fixation data;7436;1937
1587052500077;Fixation begin;7459;1928
1587052500087;Fixation data;7459;1928
1587052500099;Fixation begin;7454;1931
1587052500110;Fixation data;7448;1934
1587052500121;Fixation begin;7436;1946
1587052500132;Fixation data;7435;1948
1587052500141;Fixation data;7439;1946
1587052500151;Fixation end;;
1587052500275;Fixation begin;7265;2347
1587052500275;Fixation data;7265;2347
1587052500287;Fixation end;;
1587052500310;Fixation begin;7494;2075
1587052500321;Fixation end;;
1587052500332;Fixation begin;7498;1955
1587052500343;Fixation begin;7477;1958
